Date,Press,Category,Title,Content,Comment,URL_Origin,URL_Naver
2021.12.30.,경남신문,,고성군 임시보호소 유기동물 차례대로 안락사 위기,,,http://www.knnews.co.kr/news/articleView.php?idxno=1366722,http://www.knnews.co.kr
2021.12.30.,한겨레언론사 선정,,‘동물 n번방’ 고작 벌금 300만원 기억해? 올해를 달군 동물뉴스,,,https://www.hani.co.kr/arti/animalpeople/human_animal/1025350.html,http://www.hani.co.kr/
2021-12-30 12:01:01,조선일보언론사 선정,생활/문화,성탄 연휴의 다람쥐 공포… 한마리가 18명을 물고 뜯어,"[ [애니멀피플] 2021 올해 최고의 동물뉴스    지난 10월3일 강원도 화천군 곰 사육농장에서 U1이 먹이를 먹고 훈련을 받고 있다. 화천 농장의 13마리 곰들은 동물단체가 구조해 내년 건립 예정인 생크추어리 입주가 정해졌다.2년째 이어진 코로나 대유행으로 사회 전반이 움츠러들었던 2021년 한 해가 저물고 있다. 연초 경남 한 기도원에서 새끼 고양이가 확진되며 반려동물의 코로나 피해 우려를 낳기도 했지만 대체로 반려동물은 사회적 거리두기, 재택근무의 일상화로 반려인과 보내는 시간이 늘어나는 의외의 소득을 얻기도 했다. 반면, 일부 사설 동물원과 사육농장의 동물들은 안녕치 못했다. 코로나 시국이 길어지며 경제난을 겪은 대구의 체험동물원은 동물들을 방치해 굶기기도 했고 사육곰들은 수 차례 철창 탈출을 감행했다. 여전히 많은 개들이 식용개 농장에서 구조되고 불법 도살장에서 죽어가는 모습이 폭로됐지만, 문 대통령의 개 식용 금지 검토 지시에 개 식용 문제 해결 논의가 본격화 됐다.다사다난 했던 2021년 한 해 비인간 동물 기자로서 현장을 ‘댕기며’ 소식 낚기에 바빴던 애피레터 ‘댕기자’와 댕기자의 우문에 늘 고퀄의 답변을 내놓는 애피랩 ‘조선배’가 놓치면 안되는 올해 최고의 동물뉴스를 꼽았다. ▶▶애피레터 구독신청하기 https://bit.ly/3kj776R댕기자 Pick!    ◎ 올해의 동물친구: 철창 속 반달가슴곰사육곰 선배님들, 올해 참 다사다난했지 말입니돠. 울산, 용인에 계시던 분들이 5월, 7월, 11월에 연이어 사육농장 철창에서 나오셨다가 비극을 맞기도 했지만 드디어 정부와 단체의 곰 생크추어리 건립이 발표되었습죠. 비록 전국 369마리의 곰 선배님들이 아직 추운 철창 속에 계시지만 곧 찾아올 ‘봄날’을 기대해 봅니당.    진돗개는 개농장, 개도살장 그리고 유기견 보호소에서 흔하게 볼 수 있는 견종이다. 카라 제공◎ 올해의 사건: 개식용 금지 논의 본격화‘이제 개 식용 금지를 신중하게 검토할 때가 되지 않았는가’(토리 아부지 문 대통령)라는 한 마디가 나오기까지 올해도 일부 견공들의 신세는 처참했습니다. 천연기념물이라는 진돗개는 식용 개 농장에서 구조되고, 불법도살장에선 많은 개들이 전기봉에 희생되었습죠. 정부는 부디 약속처럼 내년 4월엔 모든 댕댕이들이 반려견으로 살아갈 방안을 마련해주시길 빕니닷.◎ 올해의 사과: 세상 떠난 화순이·루오…고래들아, 미안해지난해에 이어 올해도 유난히 수족관 고래들의 부고가 이어진 한 해였습니다. 아쿠아플라넷 여수에서 벨루가 ‘루오’가 세상을 떠난데 이어, 제주 마린파크에서는 낙원이와 화순이가 잇따라 사망했습니다. 이후 롯데월드 아쿠아리움의 ‘벨라’, 퍼시픽리솜 ‘비봉이’ 등의 방류 결정이 이어지며 무엇이 최선인지 갑론을박이 이어지고 있습니당. 애초에 야생에 뒀다면 좋았을 고래들에게, 할 수 있는 말은 진심어린 사과가 아닐까 합니돠.    제주 서귀포시 고래체험시설 마린파크의 마지막 돌고래 ‘화순이’가 지난 8월13일 폐사한 것이 뒤늦게 알려졌다. 사진은 마린파크 야외 수조에서 찍힌 화순이의 모습. 사진 핫핑크돌핀스 제공◎ 올해의 비극: 남양주 개물림 사고, 반복되지 않으려면…지난 5월 산책 중이던 50대 어머님이 목줄이 없는 개에게 물려 사망하는 사고가 벌였습니닷. 사건 초반 들개로 알려졌던 이 개는 사실, 인근 개농장주의 개로 밝혀졌습죠. 충격적인 인명피해를 낸 사고견을 즉시 안락사 시켜야 한다는 여론이 일었습니다만, 카라 등 동물단체는 문제의 본질은 안락사 여부가 아니라는 지적을 내놨습니당. 왜 그 개들은 사람을 공격했는지, 유기견과 개농장은 어떻게 사고견이 됐는지 살펴보는 계기가 된 비극적 사건 잊어선 안되겠습니돠. ◎ 올해의 분노: 고양이 학대한 ‘고어전문방’ 솜방망이 처벌댕기자를 가장 분노케 한 뉴스 단연 고어전문방 학대사건입니닷. 지난 1월 참가자 40여명이 카카오톡 오픈채팅에 모여 재미로 동네고양이, 새, 토끼 등을 살해할 모의를 하고 실제로 동물을 해친 사진, 동영상 등을 공유했습죠. 엄연한 동물보호법 위반입니다. 이들의 엄벌을 탄원하는 청와대 청원 참가자가 20만명이 넘었지만, 지난 11월 핵심 피의자 둘에게 내려진 형벌은 결국 벌금 100만~300만원이었습죠.     법무부가 지난 7월19일 ‘동물은 물건이 아니다’라는 조항을 민법에 신설한다고 밝혔다. 게티이미지뱅크◎ 올해의 기쁨: 동물은 더이상 ‘물건’이 아니다동물은 원래 물건이 아닌데 무슨 소리냐굽쇼. 우리나라 법을 말씀드린 것이었슴다. 현재 민법은 동물을 물건으로 취급해 소유주의 재산으로 보고 있기 때문입니돠. 헌데 법무부에서 지난 7월 개정을 예고했습니닷. 반려가구가 늘어나며 동물이 가족으로 여겨지고, 동물학대에 대한 처벌이나 배상이 미비한 점을 보완하기 위해서라고 이유를 밝혔습죠. 동물이 제3의 지위를 갖게 되면 뭐가 달라지냐고요? 댕기자가 이미 물어봤습죠! 조선배 Pick!    ◎ 올해의 위기: 기후위기 직격타 맞는 야생동물들급격한 기후위기는 자연과 밀접하게 생활하고 있는 야생동물들의 생태에도 변화를 미치고 있어. 앨버트로스는 수명이 50~60년에 이르는데 일생을 한 마리의 짝과 번식을 하거든. 근데 최근에 평상시엔 1%였던 이혼율이 8%까지 높아졌다는 조사가 발표됐어. 이유는 번식 실패였대. 먹이가 부족해진 수컷이 멀리 나갔다가 번식지로 돌아오지 못한다던가 암컷이 스트레스가 높아지기 때문이란 거지.    남반구 대양에 사는 검은눈썹앨버트로스 부부가 번식기를 맞아 구애 행동을 하고 있다. 기후변화가 이 새의 가장 충직한 일부일처제를 흔든다. 프란세스코 벤투라 제공.온난화로 얼음이 사라져 먹이를 구하기 힘든 북극곰 이야기는 잘 알지? 그래도 물범을 잡기 위해 에너지를 쓸 것인지, 기러기알 200개로 대체할 것인지 생존 딜레마에 놓인 북극곰 이야기는 들을수록 서글프다구!◎ 올해의 발견: 고객 관리하는 놀래기, 패션왕 침팬지왜 새, 물고기는 어리석을 거란 통념이 있잖아. 올해 발표된 몇몇 연구는 그런 생각을 통쾌하게 부숴줬지. 유황앵무야 워낙 영리한 새로 유명하지만, 지난 7월 호주 시드니에선 이 앵무들이 쓰레기통 여는 법을 서로 공유하고 배운다는 사실이 드러났어. 대형쓰레기 통을 열고 뒤지는 건 꽤나 복잡하고 어려운데 이걸 다른 지역에 사는 앵무들이 모방하고 있는 모습이 밝져진 거야. 어디 그뿐인가, 자신의 모습을 인지하는 ‘거울 테스트’에 통과한 청소놀래기는 공생관계인 물고기들의 얼굴을 100마리 이상 구별하며 ‘평판’ 관리까지 한다는 사실이 밝혀졌지.    지푸라기를 한쪽 귀에 꽂고 다니는 야생 침팬지 줄리. 동물의 문화는 영장류뿐 아니라 새, 물고기, 곤충까지 널리 퍼져 있다. 에드윈 반 뤼웬 제공.패션도 인간동물만의 전유물이 아니야. 잠비아 야생동물구역에 사는 침팬지들 사이에서는 지푸라기를 귀에 꼽는 유행이 번졌는데, 이건 순전히 생존과는 무관한 행동이거든. 사실 동물행동연구가 쌓이면 쌓일수록 새, 물고기, 곤충도 자신들의 문화를 창조하고 있다는 증거는 속속들이 나오고 있어.    상대를 겨냥해 진흙 덩이를 강한 물살을 이용해 발사하는 시드니문어. 주로 암컷이 괴롭히는 수컷을 상대로 이런 행동을 많이 했다. 피터 갓프리-스미스 교수 영상 갈무리.◎ 올해의 동물복지: 지각있는 문어, 학대도 금지한다올 한해도 국외에선 동물복지를 위한 움직임이 꾸준했지. 무엇보다 눈에 띄는 건 문어가 지각있는 동물이란 사실도 점차 분명해지고 있단 거야. 문어의 놀라운 지능을 입증한 재밌는 사례! 바로 자신을 괴롭히는 수컷을 향해서 암컷이 진흙 덩이를 겨냥해서 던지는 모습이 포착된 건데, 10번 던지면 5번은 맞췄다는 거 아냐. 영국에선 지난 11월 고통을 느끼는 문어, 오징어 등을 산 채로 삶지 못하도록 동물보호법을 개정하기로 했어.     유럽위원회가 2023년까지 닭, 토끼, 거위 등의 케이지 사육을 금지하는 법안을 마련하고, 2027년까지 단계적으로 도입하겠다고 밝혔다. 게티이미지뱅크우리나라도 수족관 고래들 복지로 말이 많잖아. 프랑스는 2년 안에 이런 야생동물 쇼를 전면 금지하기로 했어. 물론 투우나 푸아그라까지 금지하진 못했지만, 서커스에 동원되는 호랑이나 돌고래들에겐 희소식이야. 게다가 2024년 1월부턴 펫숍에서 어린 동물을 못하게 하겠다고 하니 우리나라도 좀 영향이 있지 않을까. 유럽연합도 2023년까지 토끼, 어린 암탉, 메추라기, 오리, 거위를 케이지에서 키우는 걸 금지하는 법안을 마련하겠다고 했으니 기대해 봐야겠어.  ]","['', '동물n번방  정말 끔찍 하던데 벌금300......이쯤되면 판사도 공범이지', '내용의 양하질을 떠나,\n제목이 쓰레기.', 'n번방 사건은 판사도 공범같음 ㅡㅡ 씁쓸...', '동물애호가 까진 아니지만 동물들 보면 너무너무 귀여워요ㅜㅜ 내년엔 모든 동물들이 행복해졌음 합니다~♡♡', '동물은 물건이 아닙니다.', '동물 권리 다 존중해 주려면 그냥 사람이 없어져야 돼', '기사 진짜 광기네 ㅜ', '이거 기사 맞나요?\n  댓글쓴거 아니지? 어투 댓글쓰듯이 쓰더니\n  나중에는 반말 하네 ㅋㅋ 기사내용도 그닥..ㅠ\n  뭐 좋아하는 사람도 있겠지만. ㅋㅋ\n  모든 대중 들이 봅니다. 일기쓰듯 쓰지마세요 기자님', 'n번방 만드는것들 수준보면 하나같이 다 변태적이고 이상한데 성적만족 느끼는거같다. 동물 죽이면서 희열느끼는 저것들도 대화방에서 여자도 강간하고 싶다고 이야기 나왔다던데 더러운 족속들은 역시 동물학대 하나만 안하지. 동물학대하면 걍 성폭행도 같이 하고싶어 한다고 보면 됨. 학대하면서 희열을 느끼는 족속들이라 이건 진리임. 동물학대에 방관하는 남자 만나지마라. 그 남자가 너도 강간한다.', '', '동물판 n번방? 동물/권 너네는 여성운동에 연대한 적은 있냐? 여성들이 모여서 공론화하니까 거기에 숟가락 얹네', '', '진짜 동물학대범의 처벌 강화가 시급합니다. 곧 있을 대선으로 여러 공약들이 기사화 되고 있는데 각 대선 후보별 동물복지 관련 공약도 알고싶네요. 지난 대선 때도 후보별 동물관련 공약을 기사로 읽고서 많은 참고를 하고 투표를 했어요. 이번에는 동물학대범의 처벌 강화를 강력하게 주장하는 후보가 있었으면 좋겠네요.', '동물을 어떻게 여기는지에 따라 그나라문화나온다 아직 우리나라는 멀은것같음', '한겨레 제목 수준', '', '', '기사 신선하네요', '반말은 자제좀...', '제목즘 잘 씁시다.안그래도 숨쉬는\n것조차 답답할 정도로 우울하고 \n화나는 시기에..', '동물 n번방이 뭔가해서 봤더니 기자님 낚시에 걸린거야? 기사 쓸 생각은 안하고 어디서 낚시질이야. 기레기 소리 듣기 지겹지도 않니? 다른 나라 기지들 퓰리쳐상 받는 거보면 가슴에 아무 반응이 안 오니? 월급받고 접대 받고 잘사아서 행복하니? 에이.....', '동물 엔번방이래서 수간 사건인 줄', '', '기자님 n번방을 가볍게 쓰기엔 본질을 훼손하는 문제인거 같아요. 다만 클릭수 끌기엔 성공했습니다.', '좀있음 동물은 산채로 죽이지마라는 소리나오겠다...', '아예 동물들보는 신문을 맹글어라...\n동물들 글자도 만들어 동물들 교육도시키고?,.\n이건 뭐.?', '제목은 바꾸면 참 좋을듯...', '암컷을 괴롭히는 수컷 문어 ㅋㅋㅋㅋ ??', '그런데 우리가 먹는 돼지, 소, 닭 들은 동물이 아닌가요? 같은 동물이지만 어떤 동물로 태어나야는지에 따라 삶이 바뀌는 모순... 돼지, 닭, 소들아 미안하다.', 'N번방을 아무데나 갖다 쓰지 마세요. 내포된 뜻을 흐리지 마세요.', '기자야.. 그냥 재미있는 우리집 21년 n번방 사건! 해서 일기나 써라. 그 무서운 단어로 어그로끄니?', '개 식용은 다른 동물들처럼 법적으로 불법 도축 못하도록 해두면 된다 뭔 놈에 자꾸 식용 금지 타령이야', 'N번방을 왜 가져다붙이지', '제목 쓰레기네', '김지숙 기자님 올 한해 동물 관련 이슈를 정리해주셔서 감사합니다. 이런 이슈가 있었고 이것을 기사로 쓰시는 분들이 있어 다행입니다. 내년에는 동물 복지에 대한 논의, 변화가 올해보단 더 진전이 있기를.. 계속 관심 가지겠습니다!!!', '', '개생쇼를 하고있네', '요즘은 이런거도 기사라고 쓰나?', '이런 미친 기자가... 10대 20대 여성이 조롱당하고 전시당한 사건을 고작 똥개 괭이들에 비유를 해? 기자의 윤리수준이 의심된다..', '정육점 다 망하겠네', '삼겹살 치킨 소고기 허버허버 잘쳐먹으면서 다른동물들은 불쌍해서 죽이면 안 돼욧 ㅜㅜㅜ 역겨운 위선자들', '앞뒤가 안맞는 문맥... 거기에 더해서 가치없는 의미부여! 문화상대주의 좀 배우세요.']",https://www.chosun.com/international/international_general/2021/12/29/KAERGQ3RK5AW5E6SWTLIVGQ7UQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/028/0002573614?sid=103
2021.12.30.,충청뉴스,,"세종시, 시민들이 10개 과제 직접 발굴, 해결",,,http://www.ccnnews.co.kr/news/articleView.html?idxno=243666,http://www.chosun.com/
2021-12-29 13:40:04,뉴시스,세계,"英대형견 규제에도 사고는 여전…""맹견 1500마리 안락사 효용 논란""","[     영국 웨일스 플린트 셔에 있는 마을 버클리에서 최소 주민 18명을 공격한 회색다람쥐. /더선          영국의 한 마을이 다람쥐 한 마리의 습격으로 크리스마스를 두려움에 떨며 보내야 했다.28일(현지시각) 영국 데일리메일, 더선에 따르면 웨일스 플린트 셔에 있는 마을 버클리에서 회색다람쥐 한 마리가 최소 18명의 주민을 공격해 다치게 했다.이전부터 이 다람쥐는 영화 ‘그렘린’에 나오는 사악한 괴물 캐릭터의 이름을 딴 별명 ‘스트라이프’가 붙을 만큼 성격이 포악했다. 이런 스트라이프의 공격성은 최근 더 심해졌고, 부상자가 속출했다. 쓰레기를 버리러 온 사람의 손을 물어 뜯거나, 마주친 사람을 향해 갑자기 돌진해 위협했다. 또 먹이를 주는 사람을 할퀴거나 다가온 고양이를 공격하기도 했다.이렇게 다친 사람이 크리스마스 연휴 기간 2일 동안 최소 18명이었다. 이들은 모두 파상풍 주사를 맞고 나서야 크리스마스를 보낼 수 있었다. 마을 주민 스콧 펠튼(34)은 “뒷문에서 쪼그린 자세로 담배를 피우고 있는데, 갑자기 다람쥐가 나타났고, 내 팔로 뛰어오르더니 손등을 물었다”며 “순식간에 벌어진 일에 당황스러웠다”고 했다.    마을 주민은 다람쥐의 공격으로 주로 손과 팔을 다쳤다. /더선          다람쥐의 습격은 현지 주민 코린 레이놀즈(65)가 설치한 덫에 크리스마스 연휴 이후 다람쥐가 잡히며 일단락됐다. 한때 다람쥐에게 먹이를 주곤 했던 그는 “이 다람쥐는 48시간 동안 나를 포함해 18명을 공격했다”며 “더 큰 피해를 막기 위해 덫을 설치했다”고 했다. 덫에 잡힌 다람쥐는 현지 동물 복지 자선 단체 RSPCA에 넘겨졌다.사람을 공격한 이 다람쥐는 다시 돌아올 수 없었다. RSPCA는 28일 성명을 통해 “다람쥐는 안락사 조치했다”며 “영국 법에 따라 붙잡은 회색다람쥐를 풀어줄 수 없기 때문”이라고 했다. 이를 두고 레이놀즈는 “내 정원을 가기도 무서웠는데, 이제야 안도감이 든다”며 “그 다람쥐는 종양이 있거나 성장하며 문제가 생긴 것 같다”고 했다.마을을 두려움에 떨게 만든 이 다람쥐의 종 ‘회색다람쥐’는 미국에서 건너온 외래종이다. 영국 정부는 2019년 현지 토착종 ‘붉은다람쥐’를 밀어내고 있는 회색다람쥐를 자연에 다시 풀어줄 수 없다는 법안을 제정했다. 사실상 이 외래종의 안락사를 강제하는 법이다. 회색다람쥐는 영국 전역에 250만마리 있는 것으로 알려졌다. 이는 붉은다람쥐의 개체 수보다 70배 이상 많은 숫자다. ]","['저런ㅁㅈㅇ같으니', '찢람쥐냐?? 하는짓이 똑같네', '좌파들도 미쳐 날뛰니 동물도 미쳐가는 구나', '', '사람 무서운줄 몰랐구나', '이상반응인가보다. 백신이 잘못했네', '우리나라 토종 다람쥐도 유럽 어느나라에 수출되었다가 골치거리되어서 문제가 많다고 뉴스 본거 같은데...', '우리 인욱이가 기분이 안좋았나 보네요… ㅠㅠ', '귀엽게 생긴 한국다람쥐가 미국 유럽에 엄청 팔려갔는데 지금 골치거리라 함 퇴치대상이 된 한국다람쥐', '설마..광견병이나 이상한 바이러스에 감염되어 보이는대로 공격한건 아니겠지? 물린 사람들 잘 지켜봐야 할듯', '정력에 좋다고 소문나면 다 잡아 먹을껀데--------.', '찢!!!!', '좌빨들 같네~자유민주주의를 좀 먹는', '이죄명 얼굴이 딱 다람쥐샠기상이다.', '굵고 짧게 살다 간 다람쥐...', '세상이 이러니 다람쥐까지 난리네.', '영국은 수입다람쥐때문에 골치가아프구나!!~~~우리는~~', '', '', '람쥐썬더!', '만약 이런 일이 일어난다면 광견병 검사 받으시는걸 권고합니다.', '간댕이 부은 다람쥐가 누구와 같구나?', '인간에게 서식지를 뺏기고  수긍하고 쫒겨나서 사는 다람쥐들보다낫네 사람도 저렇게 살아야한다', '인간을 물고 해롭게 하는 동물은 안락사가 정답이다.', '', '역시 미재가 영국산 보다  조은가보넹', '', '미친쥐', '', '그냥 털 옷 아니 껍질을 벗겨서 악어 우리에 넣어라. 악어도 할퀴고 무는지 보고 싶다.', '감히 인간을 공격하는 미물들은 그자리에서 발로차고 짓밟아 죽여라']",http://www.newsis.com/view/?id=NISX20211227_0001703292&cID=10101&pID=10100,https://n.news.naver.com/mnews/article/023/0003662841?sid=104
A33면 1단,중앙일보,,[시론] 국가가 책임지고 ‘존엄한 죽음’ 보장해야,,,https://www.joongang.co.kr/article/25036445,http://www.ccnnews.co.kr/
2021.12.23.,한겨레21언론사 선정,,남성이 여성보다 많이 살해됐는데요?,,,https://h21.hani.co.kr/arti/society/society_general/51372.html,http://www.newsis.com
2021-12-27 17:59:05,디스커버리뉴스,세계,"국립생태원, 멸종위기 일본원숭이 중성화 수술 후 안락사...왜?","[ 기사내용 요약금지종 외 견종 관련 사고 보고 잦아맹견 1500여 마리 안락사, 효용 논란    [부산=뉴시스] 부산의 한 골목에서 주민 2명을 물어 상처를 입힌 맹견. (사진=부산경찰청 제공) * 기사 내용과 관련 없음 *재판매 및 DB 금지[서울=뉴시스]이진경 인턴 기자 = 최근 영국에서 특정 견종 사육을 제한하는 '맹견법(Act on dangerous dogs)' 효용을 놓고 논란이 일고 있다고 26일(현지시간) 영국 스카이뉴스 등이 보도했다. 맹견법에 따라 지난 2년간 맹견 1525마리가 살처분됐으나, 대형견 관련 사고가 여전하다는 이유에서다.영국은 1991년 맹견법을 제정해 핏불테리어, 일본 도사견, 도고 아르헨티노, 필라 브라질레이로 등 4종을 민간에서 키울 수 없는 특별 통제견으로 규정했다. 해당 법안은 특정된 4종 외에도 통제 불능 상태인 개는 당국에 체포될 수 있다고 규정하고 있다. 다만 규제 법안 시행 후에도 영국에서 맹견에 물려 죽거나 다치는 사고가 계속 이어져 해당 법안의 효용성에 대해 논란이 불거진 것이다.지난달 영국 웨일스 케어필리에서 아메리칸 불도그 한 마리가 10살 아이를 물어 죽이는 사건이 발생했다. 피해 아동은 방과 후 친구 집에 방문하던 길에 50㎏이 넘는 대형견에 물려 변을 당한 것으로 전해졌다.신고를 받고 출동한 경찰이 현장에서 해당 대형견을 사살했다. 사살된 아메리칸 불도그는 맹견법에서 규정하는 금지 종에 속하지 않는다.이에 영국 왕립동물학대방지협회(RSPCA)는 맹견법이 각 개체의 행동 특성을 충분히 고려하지 않고, 종(種)으로만 사육 금지 대상을 정하고 있다는 점을 문제의 원인으로 꼬집었다.RSPCA 관계자는 현재 법안이 ""개들을 단순히 생김새에 의해 규제하는 것""이나 다름없다고 규탄했다. 단순히 견종으로만 금지 대상을 정해 법제상 규제에 빈틈이 생겼다는 지적이다.그러면서 ""(현재 맹견으로 분류된 대형견 중) 상당수는 사람에 위해를 가하지 않는다""라고 주장하기도 했다. RSPCA는 맹견으로 지정된 견종 중 일부는 ""쓸데없이 안락사를 당하고 있다""는 입장이다. 이에 영국 환경부 대변인은 ""(맹견에) 공격당하는 것은 끔찍한 결과로 이어질 수 있다""라며, 특정 견종 사육 금지 이유를 설명했다.그러면서 환경부는 ""경찰 당국을 비롯한 여러 관계자들과 함께 (RSPCA의) 조언을 숙고할 방침""이라고 밝혔다. ]",[],http://www.discoverynews.kr/news/articleView.html?idxno=713823,https://n.news.naver.com/mnews/article/003/0010911990?sid=104
2021.12.30.,데일리안언론사 선정,,"""결국엔""…사람 볼 때마다 무차별 공격해 18명 다치게 한 英 다람쥐의 최후",,,https://www.dailian.co.kr/news/view/1068159/?sc=Naver,https://www.joongang.co.kr
2021-12-29 00:39:00,머니투데이,오피니언,"18살 민준이가, 어느날 내 이름에 '하트'를 붙여줬다","[       윤영호 서울대 의대 교수·웰다잉문화운동 기획위원장           신축년(辛丑年)이 저물고 임인년(壬寅年)이 다가오고 있다. 한 해를 돌아보고 삶의 마무리를 한 번쯤 생각하기에 좋은 때다. 2016년 1월 ‘호스피스·완화 의료 및 임종 과정에 있는 환자의 연명의료 결정에 관한 법률(연명의료결정법)’이 국회를 통과했다. 입법 과정에 우여곡절이 많았다.      지난 8월 보건복지부는 ‘사전연명 의료 의향서’ 100만 명 작성을 축하하는 행사를 했다. 하지만 품위 있는 죽음은커녕 비참한 죽음을 맞이할 환자와 가족들의 고통이 여전한데도 법 통과 당시의 국민적 기대를 온전히 담아내지 못했다는 자책감이 들었다. 65세 이상 노인층의 85.6%가 무의미한 연명의료를 반대하고 국민 절반 이상이 건강할 때 작성할 의향이 있다는데 실제로는 겨우 성인의 2.2%만 참여했기 때문이다.     초고령사회에서 대두된 ‘웰다잉’   호스피스 늘리고 관련법 보완을      지난해 사망자 중 18%만 이 법이 규정한 연명의료 결정 과정을 따랐을 뿐이다. 나머지 82%는 심폐소생술을 받아 연명의료 시행이 늘었는지, 법에 따라 보호받지 못하는 심폐소생술 금지(DNR) 동의서 관행이 여전한지, 이에 대한 통계조차 없다. 웰다잉을 위해 만든 법이 죽음의 의료화로 삶과 죽음의 경계에 머무는 기간을 연장해 오히려 존엄한 죽음을 훼손하고 있을까 두렵다.      법 통과 후 2년간 호스피스 인프라를 확대하기로 했지만, 필요한 2500병상(인구 100만 명당 50병상)의 57%인 1429병상에 불과하다. 호스피스 대상자를 암·후천성면역결핍증(AIDS)·만성폐쇄성호흡기질환·만성간경화 등 4개 질환으로 제한하는 바람에 다른 질환의 말기 환자들은 이용도 못 한다.      암 이외의 3개 질환으로 호스피스를 이용한 환자도 3년간 60명에 불과했다. 전체 사망자의 6.7%만 호스피스를 이용해 웰다잉의 형평성 문제가 심각하다. 호스피스 전문기관 88곳 중 17곳이 코로나19 전담병원으로 차출되면서 261개 병상이 줄어들기까지 했다. 아무리 ‘산 자’를 우선한다지만 말기 환자의 죽음조차 천대받는 사태는 세상 어디에도 없는 비극이다. 호스피스 입원 대기자가 2배로 증가해 오갈 데 없는 암 환자들이 응급실에서 사망하는 사례가 늘었다. 정부는 비난받아 마땅하다.      초고령사회를 앞둔 시점에 실효성 없는 정책 때문에 고독사·간병살인·동반자살이 끊이지 않는다. 국민의 존엄한 죽음에 책임이 있는 국가는 죽음의 현실을 진단하고, 고통받는 말기 환자와 가족들에게 어떤 돌봄을 어떻게 제공해야 할 것인지를 구체적으로 제시해야 한다.      국민은 호스피스와 연명의료결정 확대와 함께 독거노인 공동부양, 성년 후견인, 장기 기증, 유산 기부, 생애보(生涯報) 작성, 장례 절차 등을 포함한 광의의 웰다잉을 원한다. 이는 ‘의사 조력자살’이나 안락사의 대안이 될 수 있다는 의견에도 많은 국민이 동의했다. 말기 환자의 간병 공동체를 위한 기부 활성화, 웰다잉 문화재단 설립, 입원 환자의 사전연명 의료의향서 확인 절차, 사전돌봄 계획 상담의 건강보험 인정, 호스피스 대상자 확대와 지원 등 웰다잉 정책도 서둘러야 한다.      웰다잉은 남은 삶을 가족들에게 부담 주지 않고 베풀며, 두려움과 고통보다 삶의 완성으로 기억되도록 하자는 취지다. 웰다잉에 대한 국민적 희망을 외면하면 세계적 흐름인 안락사 합법화의 거센 물결에 휩싸일 수도 있다.      문재인 대통령은 모든 국민의 품위 있는 죽음, 웰다잉에 대한 국가 차원의 책임자다. 미국은 지미 카터 대통령 때부터 매년 11월이면 대통령이 국민의 죽음을 애도하고 유족에게 용기를 북돋우며 호스피스 종사 등 의료인들과 자원봉사자들에게 감사 메시지를 보낸다. 차기 대선 후보들은 국민의 죽음을 도외시한 전임 대통령들의 전철을 밟지 말고 존엄한 죽음을 바라는 국민적 요구에 응답해야 한다.      ※  외부 필진 기고는 본지의 편집 방향과 다를 수 있습니다.   ]",['우리나라도 안락사(조력사)를 허용해야합니다. 그 누가 기약없는 고통속에서 숨이 끊어질 때까지 기다리고 싶겠습니까. 안락사를 원하는 사람은 안락사를 선택할 수 있도록 해줘야합니다.'],http://news.mt.co.kr/mtview.php?no=2021122611290487002,https://n.news.naver.com/mnews/article/025/0003162646?sid=110
2021.12.29.,시선뉴스,,"[소비이슈] 도그마루, '2022 새해 이벤트' 실시...""다양한 혜택으로 고객 만족...",,,http://www.sisunnews.co.kr/news/articleView.html?idxno=154935,http://www.sisunnews.co.kr
16면 1단,부산일보,,[펫! 톡톡] 세계적 반려동물 친화도시 부산,,,http://www.busan.com/view/busan/view.php?code=2021122218295591808,http://www.busan.com/
